JAHR;KT;GEBIET;FAT;BIO;B_KULTURLAND;B_VERSORGUNGSSICHERHEIT;B_BIODIVERSITAET;B_PRODUKTIONSSYSTEME;B_LANDSCHAFTSQUALITAET;B_RESSOURCENEFFIZIENZ
2015;VS;02;421;0;11824337;13017573;6109319;3234358;2515766;11117
2015;VS;02;421;1;1238240;1583315;911389;715200;313431;0
2015;VS;02;422;0;957435;1241152;536230;458304;170621;1710
2015;VS;02;422;1;914768;1160390;937019;733870;223191;2812
2015;VS;02;431;0;4199065;4655449;2404655;1472031;512828;5
2015;VS;02;431;1;1939498;2153198;1644029;1187979;347088;1
2015;VS;02;999;0;1359856;1584495;894424;385618;251600;275
2015;VS;02;999;1;439538;613542;355172;379151;139103;1722
2015;ZG;01;421;0;180854;1270232;531108;643442;104050;13811
2015;ZG;01;422;0;5654;342333;182683;237086;35860;4074
2015;ZG;01;431;0;30853;141000;84112;68582;19181;42
2015;ZG;01;451;0;4614;416590;158085;135908;36777;18980
2015;ZG;01;999;0;95371;1808061;878044;1072745;136115;40728
2015;ZG;02;421;0;1571007;2978854;1648083;993724;351102;1983
2015;ZG;02;421;1;263212;503449;297207;300652;73437;1501
2015;ZG;02;422;0;208642;394019;277636;179263;49265;0
2015;ZG;02;422;1;206398;317066;404556;205315;43249;550
2015;ZG;02;431;0;126789;215662;155330;66501;29223;0
2015;ZG;02;999;0;381985;767321;377967;344909;114987;567
2015;ZH;01;411;0;49237;11928268;2645307;1101650;1091329;294904
2015;ZH;01;413;0;4775;1154098;247736;61139;38908;3532
2015;ZH;01;413;1;24554;926338;257796;1069330;48463;9503
2015;ZH;01;414;0;1407;576531;235317;53063;52261;8784
2015;ZH;01;415;0;194101;548305;144239;34035;20868;10030
2015;ZH;01;415;1;26445;47195;36453;49308;2145;0
2015;ZH;01;421;0;1384554;9724611;4881336;4050801;896020;21488
2015;ZH;01;421;1;137462;1264798;910599;1098432;198214;1810
2015;ZH;01;422;0;294313;2416757;1675715;1371802;306412;8302
2015;ZH;01;422;1;133575;535546;517945;500634;87300;943
2015;ZH;01;431;0;104379;1076450;879157;355278;96361;1659
2015;ZH;01;431;1;46355;238133;601077;198952;50333;0
2015;ZH;01;442;0;22316;92502;64166;212619;7496;0
2015;ZH;01;443;0;867;22567;65819;192298;1632;710
2015;ZH;01;451;0;136799;9683317;2409063;2557010;926819;100941
2015;ZH;01;452;0;119281;3405665;1172841;1395741;331491;38893
2015;ZH;01;452;1;32460;398279;299478;416825;60818;5864
2015;ZH;01;999;0;626464;17089602;8040488;5921771;1628315;157656
2015;ZH;01;999;1;201148;2346598;1493361;2495466;307726;41449
2015;ZH;02;421;0;1570802;3185116;984008;967515;251687;156
2015;ZH;02;421;1;128341;273428;109207;144718;25480;0
2015;ZH;02;422;0;248941;439615;214613;175276;57978;0
2015;ZH;02;422;1;197204;347610;243321;221653;44242;0
2015;ZH;02;431;0;90687;168332;62135;61912;5870;0
2015;ZH;02;431;1;64037;119850;48100;67458;23520;0
2015;ZH;02;999;0;350668;617019;301979;199316;59819;0
2015;ZH;02;999;1;100842;178622;55695;118044;12773;0
2015;99;01;411;0;13579;574989;178260;24755;38526;1603
2015;99;01;411;1;5761;977723;279592;1012662;84166;93247
2015;99;01;413;0;0;9162;28637;483;20273;0
2015;99;01;413;1;9972;111491;111210;124394;7814;0
2015;99;01;414;0;6794;331582;100679;14455;14243;5886
2015;99;01;414;1;23905;308384;238774;346446;10181;15267
2015;99;01;415;0;12434;17244;43745;0;1872;0
2015;99;01;415;1;65088;407201;337311;405853;44917;35135
2015;99;01;421;0;108740;425418;183645;178427;44582;4834
2015;99;01;421;1;230545;1113392;486054;918447;133046;33354
2015;99;01;422;0;224939;489416;176554;283222;43159;0
2015;99;01;422;1;166700;632353;345152;522317;86221;6356
2015;99;01;431;0;3098;71728;34948;27955;1152;116
2015;99;01;431;1;130659;424293;415257;318867;36925;0
2015;99;01;442;0;96696;265590;169500;632421;15444;3073
2015;99;01;442;1;9907;17406;54655;36159;4257;2651
2015;99;01;443;0;34660;132394;86074;310096;10335;698
2015;99;01;443;1;55762;321932;337721;488114;58338;5249
2015;99;01;451;0;58422;661499;134186;180420;14993;5410
2015;99;01;451;1;62575;1317283;416336;1396725;175084;89133
2015;99;01;452;0;105373;502295;265809;239900;22956;27968
2015;99;01;452;1;196022;1092709;439925;1155095;123254;96825
2015;99;01;999;0;402969;2696918;950340;948654;277087;80700
2015;99;01;999;1;560838;3843288;1829240;3981149;470475;147233
2015;99;02;411;0;43695;248644;35561;50104;27413;8175
2015;99;02;413;1;5091;10591;1884;9321;4093;0
2015;99;02;414;0;10449;26836;9487;5797;2025;0
2015;99;02;414;1;24302;42125;23343;38842;2941;0
2015;99;02;415;0;39882;42262;21259;3982;8898;0
2015;99;02;415;1;77385;78787;75381;58384;8804;0
2015;99;02;421;1;173207;254745;131000;138224;16022;67
2015;99;02;422;1;82220;147418;97774;86298;34054;0
2015;99;02;431;0;48202;111241;52172;39456;1777;0
2015;99;02;431;1;189699;262756;187480;152035;61113;0
2015;99;02;442;0;290096;436667;157624;406922;59923;685
2015;99;02;442;1;31050;33385;20401;46934;7553;0
2015;99;02;443;0;226010;374719;115938;610466;35631;7621
2015;99;02;443;1;180446;340290;192703;442246;45697;2530
2015;99;02;451;0;107343;283589;55942;66264;20616;3568
2015;99;02;451;1;4010;16876;5390;14686;1555;1291
2015;99;02;452;0;212862;595155;153101;182881;78199;6787
2015;99;02;452;1;156344;396641;311218;322436;61232;30003
2015;99;02;999;0;1621158;3559965;912011;1339623;382388;52316
2015;99;02;999;1;2350182;3694510;1931181;2508812;547266;33573
2016;AG;01;411;0;126170;6402495;1521756;661911;371939;239076
2016;AG;01;413;0;9852;1710911;429334;118625;104042;25319
2016;AG;01;413;1;10060;480325;160839;407682;53017;25985
2016;AG;01;414;0;49806;631542;333619;68710;91986;15760
