source,target,value
NE,451,2827
NE,452,1813
NE,999,10814
NW,421,10563
NW,422,1916
NW,431,907
NW,442,570
NW,999,2391
OW,421,19326
OW,422,1153
OW,431,484
OW,999,2780
SG,413,1542
SG,414,430
SG,415,489
SG,421,96941
SG,422,14217
SG,431,6163
SG,442,4145
SG,443,2538
SG,451,2121
SG,452,667
SG,999,33182
SH,411,7753
SH,415,1256
SH,431,196
SH,451,3496
SH,452,2016
SH,999,10517
SZ,421,44508
SZ,422,7028
SZ,431,4601
SZ,442,1211
SZ,443,492
SZ,999,7460
TG,411,5905
TG,413,2713
TG,414,2628
TG,415,565
TG,421,23842
TG,422,3123
TG,431,2200
TG,442,1039
TG,443,962
TG,451,9507
TG,452,3468
TG,999,33470
TI,411,354
TI,413,316
TI,415,1438
TI,421,9870
TI,422,2847
TI,431,10575
TI,999,4519
UR,421,16199
UR,422,2607
UR,431,2766
UR,999,2135
VD,411,49956
VD,413,3042
VD,414,1423
VD,415,11186
VD,421,34473
VD,422,8716
VD,431,3833
VD,451,36892
VD,452,16880
VD,999,52739
VS,413,964
VS,414,3465
VS,415,12566
VS,421,42732
VS,422,7554
VS,431,21493
VS,999,11495
ZG,421,11728
ZG,422,3094
ZG,431,937
ZG,451,771
ZG,999,6019
ZH,411,17111
ZH,413,3846
ZH,414,927
ZH,415,1113
ZH,421,32211
ZH,422,10040
ZH,431,4360
ZH,442,399
ZH,443,284
ZH,451,15814
ZH,452,7678
ZH,999,42345
411,1,2453
413,1,7502
414,1,2308
415,1,3317
421,1,148934
422,1,96473
431,1,39284
442,1,264
443,1,2955
451,1,6400
452,1,14420
999,1,90460
411,0,134718
413,0,18571
414,0,11556
415,0,36171
421,0,765558
422,0,118875
431,0,71266
442,0,28142
443,0,11903
451,0,163479
452,0,62993
999,0,567683
Talgebiet,Summe von B_KULTURLAND,70845
Talgebiet,Summe von B_VERSORGUNGSSICHERHEIT,641070
Talgebiet,Summe von B_BIODIVERSITAET,210843
Talgebiet,Summe von B_PRODUKTIONSSYSTEME,263631
Talgebiet,Summe von B_LANDSCHAFTSQUALITAET,59429
Talgebiet,Summe von B_RESSOURCENEFFIZIENZ,15190
Berggebiet,Summe von B_KULTURLAND,309574
Berggebiet,Summe von B_VERSORGUNGSSICHERHEIT,447442
Berggebiet,Summe von B_BIODIVERSITAET,147040
Berggebiet,Summe von B_PRODUKTIONSSYSTEME,183462
Berggebiet,Summe von B_LANDSCHAFTSQUALITAET,55239
Berggebiet,Summe von B_RESSOURCENEFFIZIENZ,1922
