debtor,Concept,creditor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Belgium,Portfolio Investment Total Liabilities (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,29199720,55162800,89050850,113752536,94847880,93507000,110556182,183939597,225547539,164490229,224319044,196194780,29,55,89,114,95,94,111,184,226,164,224,196
Belgium,Portfolio Investment Total Liabilities (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,18124815800,22627799900,24206658000,30378916300,30192062100,27526617000,30036728400,21912316500,27537069000,27898519800,24022547400,27436923000,18125,22628,24207,30379,30192,27527,30037,21912,27537,27899,24023,27437
Belgium,Portfolio Investment Total Liabilities (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,1129717031,1545895603,1496876198,1883699503,1658345643,1441853035,5449907579,5997285714,4892041522,6901706485,6526043406,6425852783,1130,1546,1497,1884,1658,1442,5450,5997,4892,6902,6526,6426
Belgium,Portfolio Investment Total Liabilities (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,1410838316,1249370842,2449787518,2834664285,1478671371,1587603990,2515553922,2023907559,1991254944,1827614274,2604879480,2113045488,1411,1249,2450,2835,1479,1588,2516,2024,1991,1828,2605,2113
Belgium,Portfolio Investment Total Liabilities (BPM5),Russian Federation,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,16000000,15000000,1000000,1000000,2000000,23000000,5000000,8000000,18000000,57000000,3932777,11140059,16,15,1,1,2,23,5,8,18,57,4,11
Belgium,Portfolio Investment Total Liabilities (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,4989000,3072235,3677217,6536286,25704269,9788158,20153039,23058218,133457184,241050480,352458360,124947180,5,3,4,7,26,10,20,23,133,241,352,125
Belgium,Portfolio Investment Total Liabilities (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,877748078,580806198,577189586,374229338,0,0,0,0,0,0,0,0,878,581,577,374
Belgium,Portfolio Investment Total Liabilities (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,3963206100,5750126970,7733980500,10312425561,11379386200,10901730900,12204597009,7635000738,19416130252,10264006938,8248420533,7269277578,3963,5750,7734,10312,11379,10902,12205,7635,19416,10264,8248,7269
Belgium,Portfolio Investment Total Liabilities (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,876770096,1275826402,1112459105,2049436096,2055186972,1892723095,2076705726,1297666769,1354363020,1663696842,1245781901,1265124145,877,1276,1112,2049,2055,1893,2077,1298,1354,1664,1246,1265
Belgium,Portfolio Investment Total Liabilities (BPM5),Switzerland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,3645765021,4074221129,4566381649,5935152062,5938393128,7053770935,9408826378,6867327694,7401778105,6749539660,5771316358,6452479917,3646,4074,4566,5935,5938,7054,9409,6867,7402,6750,5771,6452
