creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Cyprus,Portfolio Investment Total Banks Assets (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,76828982.85,0,0,25689738.66,78542661.97,104900254.3,116388642.3,156721921.7,79953300,0,0,0,77,0,0,26,79,105,116,157,80,0,0,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,26759891.16,20231998.01,30228514.63,156284226.4,323151623.8,663860211.8,669243157.8,819413735.1,1136811195,1324253838,944663018.1,194506210.3,27,20,30,156,323,664,669,819,1137,1324,945,195
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,64312051.36,55231136.19,129940407.9,503910598.9,669039958,792007651.8,569246349,482148293.3,678213263.9,1084614492,1286090475,72002296.8,64,55,130,504,669,792,569,482,678,1085,1286,72
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,22188712.49,19615656.54,107258338.1,117978678.2,78854126.57,58604301,45512614.73,39890753.1,1003272.408,0,0,0,22,20,107,118,79,59,46,40,1,0,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,9651026.426,11550707.95,17506824.21,13241967.96,16122564.71,12648283.2,0,0,2670930.18,2623382.25,2785121.46,0,10,12,18,13,16,13,0,0,3,3,3
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,10701231.74,11513072.77,55356896.4,110138395.6,137543270.1,234898660.8,190003947,341447086.2,385915019.1,440467506.8,306897345.7,200119873.4,11,12,55,110,138,235,190,341,386,440,307,200
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,24862372.03,21085401.22,34596795.24,34190999.68,35146387.5,28110065,20816670,0,0,0,0,0,25,21,35,34,35,28,21,0,0,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,53189103.1,162382377.2,309011966.6,431265409,460037715.1,838358937.6,958744871.7,1085848350,1049151594,601610688,486914015.5,99124756.14,53,162,309,431,460,838,959,1086,1049,602,487,99
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,107789787.2,116139628.8,154891365.3,215422122.5,297838681.8,373306757.1,472716335.7,462949592.5,404175364.8,114092733.1,72931494.29,19796937.3,108,116,155,215,298,373,473,463,404,114,73,20
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,18837407.08,29513548.4,24341673.43,77768248.35,58791642.71,113354491,41872412.4,102274709.1,73123004.81,276156168.6,112915679,39598824.65,19,30,24,78,59,113,42,102,73,276,113,40
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Russian Federation,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1052348742,1246540408,306771732.9,186127361.7,162799093.3,599317639,85693885.2,128504455.1,172156431.3,57287971.56,267279693.8,1380191396,1052,1247,307,186,163,599,86,129,172,57,267,1380
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,10970274.38,18450533.43,21905001.32,19608804.78,22134959.97,17760886.5,16700400,107329915,0,0,0,0,11,18,22,20,22,18,17,107,0,0,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,4105887.864,11890737.72,16021810.3,32966756.35,28349717.15,35277033.79,32096196.3,30057588.68,88383479.43,22790227.2,41940899,0,4,12,16,33,28,35,32,30,88,23,42,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,24373270.44,27660245.07,123232502.4,124291678,129094061.7,67052979.26,47475225,130044237,163158141.6,914516645.8,346350334.8,0,24,28,123,124,129,67,47,130,163,915,346,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,21802935.62,33360076.21,12823.3204,0,47222521.86,148366485.9,166566642.9,170897855.5,220993866.7,95790601.28,79470474.3,50540000,22,33,0,0,47,148,167,171,221,96,79,51
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Switzerland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,309234.894,26300.3634,132532.004,0,0,5260915.765,1255701.3,952980.492,208781999,1549.992,10090371.17,3393.589158,0,0,0,0,0,5,1,1,209,0,10,0
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Turkey,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,13396143.03,7237188.143,742602.6542,1112988.405,0,-12238953.18,16690669.8,12525300,12965400,0,5523057.437,6028640.004,13,7,1,1,0,-12,17,13,13,0,6,6
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Arab Emirates,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,4993749.956,5000000.911,5005794.75,75063670.24,2460566823,274434770.4,366608173.8,379591156,60763013.54,62532090.49,14640789.07,0,5,5,5,75,2461,274,367,380,61,63,15
Cyprus,Portfolio Investment Total Banks Assets (BPM5),United Kingdom,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,154369156.9,273254876.3,459074713.4,805921591,1415618288,3248745848,3862470954,11950823660,23062997926,13271522023,12012503734,7064028703,154,273,459,806,1416,3249,3862,11951,23063,13272,12013,7064
Cyprus,Portfolio Investment Total Banks Assets (BPM5),United States,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,241441933.4,279101285.1,340847789.6,899100253.9,1329798713,2180874209,2565593545,3390107879,3547247797,1139376805,831330082.6,572687508.5,241,279,341,899,1330,2181,2566,3390,3547,1139,831,573
Estonia,Portfolio Investment Total Banks Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,40110900,7916400,0,0,0,0,0,0,0,0,0,0,40,8
Estonia,Portfolio Investment Total Banks Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,99630300,2638800,0,0,0,0,0,0,0,0,0,0,100,3
Estonia,Portfolio Investment Total Banks Assets (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,11645100,5277600,0,0,0,0,0,0,0,0,0,0,12,5
Estonia,Portfolio Investment Total Banks Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,230314200,105552000,0,0,0,0,0,0,0,0,0,0,230,106
Estonia,Portfolio Investment Total Banks Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,130683900,131940000,0,0,0,0,0,0,0,0,0,0,131,132
Estonia,Portfolio Investment Total Banks Assets (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,2587800,0,0,0,0,0,0,0,0,0,0,0,3,0
Estonia,Portfolio Investment Total Banks Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,12939000,9235800,0,0,0,0,0,0,0,0,0,0,13,9
Estonia,Portfolio Investment Total Banks Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,349353000,11874600,0,0,0,0,0,0,0,0,0,0,349,12
Estonia,Portfolio Investment Total Banks Assets (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,3881700,2638800,0,0,0,0,0,0,0,0,0,0,4,3
Estonia,Portfolio Investment Total Banks Assets (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,11645100,23749200,0,0,0,0,0,0,0,0,0,0,12,24
Estonia,Portfolio Investment Total Banks Assets (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,86691300,10555200,0,0,0,0,0,0,0,0,0,0,87,11
Estonia,Portfolio Investment Total Banks Assets (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,2587800,3958200,0,0,0,0,0,0,0,0,0,0,3,4
Estonia,Portfolio Investment Total Banks Assets (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,23290200,0,0,0,0,0,0,0,0,0,0,0,23,0
Estonia,Portfolio Investment Total Banks Assets (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,2587800,5277600,0,0,0,0,0,0,0,0,0,0,3,5
Estonia,Portfolio Investment Total Banks Assets (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,2587800,9235800,0,0,0,0,0,0,0,0,0,0,3,9
Estonia,Portfolio Investment Total Banks Assets (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,72458400,13194000,0,0,0,0,0,0,0,0,0,0,72,13
Estonia,Portfolio Investment Total Banks Assets (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,10351200,2638800,0,0,0,0,0,0,0,0,0,0,10,3
Estonia,Portfolio Investment Total Banks Assets (BPM5),Turkey,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,2587800,3958200,0,0,0,0,0,0,0,0,0,0,3,4
Estonia,Portfolio Investment Total Banks Assets (BPM5),United Kingdom,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,11645100,18471600,0,0,0,0,0,0,0,0,0,0,12,18
Estonia,Portfolio Investment Total Banks Assets (BPM5),United States,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,14232900,23749200,0,0,0,0,0,0,0,0,0,0,14,24
Finland,Portfolio Investment Total Banks Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,135065220,275280410,310744777,396838440,722241702,550932279,783686400,1229771670,1584186465,620271630.7,0,0,135,275,311,397,722,551,784,1230,1584,620
Finland,Portfolio Investment Total Banks Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,221052186,311101740,388016118,440292129,730384200,856236960,592864980,602428165.3,0,0,0,0,221,311,388,440,730,856,593,602
Finland,Portfolio Investment Total Banks Assets (BPM5),China,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,186576.7429,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Portfolio Investment Total Banks Assets (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Portfolio Investment Total Banks Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,80513731,94387797,182022570,83011719,52550592,0,16734640.09,17428833,17984754.79,0,0,0,81,94,182,83,53,0,17,17,18
Finland,Portfolio Investment Total Banks Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,848634960,1533928915,1402639706,2302234530,3087876960,1993457163,3476167800,8987521716,10119009645,4521059236,0,0,849,1534,1403,2302,3088,1993,3476,8988,10119,4521
Finland,Portfolio Investment Total Banks Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,2260770000,2880133208,2351885311,4289073900,3741401034,2187334890,3757084800,9436190952,7840490562,6992207838,0,0,2261,2880,2352,4289,3741,2187,3757,9436,7840,6992
Finland,Portfolio Investment Total Banks Assets (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,343694232,556071600,1054074732,324691266,905399.9641,0,0,0,0,0,0,0,344,556,1054,325,1
Finland,Portfolio Investment Total Banks Assets (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,242615.7363,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Portfolio Investment Total Banks Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,326561280,658044131,875337400,1644827640,1785833952,1391825253,1541442000,1520248188,1071659736,254304224,0,0,327,658,875,1645,1786,1392,1541,1520,1072,254
Finland,Portfolio Investment Total Banks Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,732704190,1039377647,933756144,1706897850,2090278953,1725276573,1770497400,1974569550,3519162159,341359377.1,0,0,733,1039,934,1707,2090,1725,1770,1975,3519,341
Finland,Portfolio Investment Total Banks Assets (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,6681000,7064694,273716.3023,0,0,0,0,0,0,0,0,0,7,7,0
Finland,Portfolio Investment Total Banks Assets (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,12027057,0,0,14752478.97,14362290,0,0,0,0,0,0,0,12,0,0,15,14,0
Finland,Portfolio Investment Total Banks Assets (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,116405066,169629063,412128810,649946871,331294185,560393400,596933988,769469391,1182938960,0,0,0,116,170,412,650,331,560,597,769,1183
Finland,Portfolio Investment Total Banks Assets (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Portfolio Investment Total Banks Assets (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,918756720,1422413788,1111938032,1949831670,2537444049,1877946063,2987804400,4020224940,4424646318,3294614760,0,0,919,1422,1112,1950,2537,1878,2988,4020,4425,3295
Finland,Portfolio Investment Total Banks Assets (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,254153490,339626014,296328843,451612470,818472879,734539260,1109262000,1766028816,2552955273,3041217900,0,0,254,340,296,452,818,735,1109,1766,2553,3041
Finland,Portfolio Investment Total Banks Assets (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,27205020,215307147,111068755,185012160,308169414,379043412,613695600,994386678,710182893,139064917.3,0,0,27,215,111,185,308,379,614,994,710,139
