creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Russian Federation,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Switzerland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Turkey,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),Arab Emirates,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),United Kingdom,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total General Government Assets (BPM5),United States,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Portfolio Investment Total General Government Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,85397400,80483400,0,0,0,0,0,0,0,0,0,0,85.3974,80.4834
Estonia,Portfolio Investment Total General Government Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,25878000,77844600,0,0,0,0,0,0,0,0,0,0,25.878,77.8446
Estonia,Portfolio Investment Total General Government Assets (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,60813300,55414800,0,0,0,0,0,0,0,0,0,0,60.8133,55.4148
Estonia,Portfolio Investment Total General Government Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,243253200,87080400,0,0,0,0,0,0,0,0,0,0,243.2532,87.0804
Estonia,Portfolio Investment Total General Government Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,78927900,27707400,0,0,0,0,0,0,0,0,0,0,78.9279,27.7074
Estonia,Portfolio Investment Total General Government Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,19408500,0,0,0,0,0,0,0,0,0,0,0,19.4085,0
Estonia,Portfolio Investment Total General Government Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,49168200,0,0,0,0,0,0,0,0,0,0,0,49.1682,0
Estonia,Portfolio Investment Total General Government Assets (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,266543400,518524200,0,0,0,0,0,0,0,0,0,0,266.5434,518.5242
Estonia,Portfolio Investment Total General Government Assets (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,39582000,0,0,0,0,0,0,0,0,0,0,0,39.582
Estonia,Portfolio Investment Total General Government Assets (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,1293900,0,0,0,0,0,0,0,0,0,0,0,1.2939,0
Estonia,Portfolio Investment Total General Government Assets (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,47874300,46179000,0,0,0,0,0,0,0,0,0,0,47.8743,46.179
Estonia,Portfolio Investment Total General Government Assets (BPM5),United Kingdom,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,56931600,39582000,0,0,0,0,0,0,0,0,0,0,56.9316,39.582
Estonia,Portfolio Investment Total General Government Assets (BPM5),United States,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,21996300,0,0,0,0,0,0,0,0,0,0,0,21.9963,0
Finland,Portfolio Investment Total General Government Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,1585822800,2117833943,2048961945,2629667070,1695711990,783680187,669879000,887065761,1480250248,865909522.5,0,0,1585.8228,2117.833943,2048.961945,2629.66707,1695.71199,783.680187,669.879,887.065761,1480.250248,865.9095225
Finland,Portfolio Investment Total General Government Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,1831350000,2133852239,1270985186,1706555430,2634926511,957600936,907578000,2068757969,604812618.1,690489843,0,0,1831.35,2133.852239,1270.985186,1706.55543,2634.926511,957.600936,907.578,2068.757969,604.8126181,690.489843
Finland,Portfolio Investment Total General Government Assets (BPM5),China,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,177318178,173026599,225167490,361533039,132809931,0,153436977.9,0,157249041.6,0,0,0,177.318178,173.026599,225.16749,361.533039,132.809931,0,153.4369779,0,157.2490416
Finland,Portfolio Investment Total General Government Assets (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,19479161.01,0,0,0,0,0,0,0,0,0,0,0,19.47916101
Finland,Portfolio Investment Total General Government Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,82407050,156062513,197602680,262725687,41862336,43218000,62791629.2,81096375.03,60113678.07,0,0,0,82.40705,156.062513,197.60268,262.725687,41.862336,43.218,62.7916292,81.09637503,60.11367807
Finland,Portfolio Investment Total General Government Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,7211730000,10222914646,9253507815,11217323610,11678596209,7750321632,8620550400,9516627987,6272785985,6814198455,0,0,7211.73,10222.91465,9253.507815,11217.32361,11678.59621,7750.321632,8620.5504,9516.627987,6272.785985,6814.198455
Finland,Portfolio Investment Total General Government Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,6580230000,9579608437,10138683913,12564719970,10591877268,9974731410,13812472800,11976869381,13643266694,13703237085,0,0,6580.23,9579.608437,10138.68391,12564.71997,10591.87727,9974.73141,13812.4728,11976.86938,13643.26669,13703.23708
