debtor,Concept,creditor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Belgium,Portfolio Investment Total Liabilities (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),USD,Units,4989000,3072234.989,3677217.497,6536285.794,25704269.44,9788158.196,20153038.92,23058218.38,133457184,241050480,352458360,124947180,5,3,4,7,26,10,20,23,133,241,352,125
Belgium,Portfolio Investment Total Liabilities (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,0,0,877748078.5,580806198.5,577189585.8,374229338.4,0,0,0,0,0,0,0,0,878,581,577,374
Belgium,Portfolio Investment Total Liabilities (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),USD,Units,3963206100,5750126970,7733980500,10312425561,11379386200,10901730900,12204597009,7635000738,19416130252,10264006938,8248420533,7269277578,3963,5750,7734,10312,11379,10902,12205,7635,19416,10264,8248,7269
Cyprus,Portfolio Investment Total Liabilities (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),USD,Units,61250350,82847300,194502000,1036558100,2105764500,3948366000,4953616500,4955843700,4075457400,499738800,445101600,189993600,61,83,195,1037,2106,3948,4954,4956,4075,500,445,190
Cyprus,Portfolio Investment Total Liabilities (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),USD,Units,55503392.7,31045714.8,56782926.51,178127781.6,179348714.9,433352265,310337817.3,248000559.9,157169460,336815934,212070210,122572260,56,31,57,178,179,433,310,248,157,337,212,123
Cyprus,Portfolio Investment Total Liabilities (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Portfolio Investment Total Liabilities (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,963752.9793,3142728.21,2789619.13,5521685.854,24659563.37,55930514.56,17109102.04,6902708.623,10076255.05,16820700,6597000,0,1,3,3,6,25,56,17,7,10,17,7
Cyprus,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,28131831,8795544,99401400,184449348.2,96241885.04,126553436.8,0,0,0,0,0,0,28,9,99,184,96,127
Cyprus,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),USD,Units,60809700,105678547.7,277353537,588096209.7,324098981,1304700537,3434625699,1484760196,459142269.6,556286784,290692749.6,249006403.8,61,106,277,588,324,1305,3435,1485,459,556,291,249
Cyprus,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),USD,Units,313742800,490791600,611292000,1413859800,1348397100,1604106000,2370081000,1426492500,1442040600,1878697200,1002772500,613521000,314,491,611,1414,1348,1604,2370,1426,1442,1879,1003,614
Cyprus,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),USD,Units,289600000,492889000,757800000,681050000,788039600,1467138000,2590896000,1466851800,2781798600,3112009800,2806469100,1085866200,290,493,758,681,788,1467,2591,1467,2782,3112,2806,1086
Cyprus,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,24682713.92,93615285.26,99433300,188752000,313446000,315029400,264423000,234817800,112240800,164325300,138537000,0,25,94,99,189,313,315,264,235,112,164,139
Cyprus,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),USD,Units,5381248.434,6292200,80832000,148468900,113041582.6,151095133.7,330419603.4,140044954.8,150713801.5,94100119.88,67503937.86,62540395.18,5,6,81,148,113,151,330,140,151,94,68,63
Cyprus,Portfolio Investment Total Liabilities (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,990648.7603,1519690.909,2008756.646,14355140.19,37897058.82,31963483.99,0,0,0,0,0,0,1,2,2,14,38,32
Cyprus,Portfolio Investment Total Liabilities (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),USD,Units,146848419.7,154029633.6,312655201.6,522345561.9,740090554,1345420170,2624632536,2111690198,2192206426,1218783579,1197311874,1663459202,147,154,313,522,740,1345,2625,2112,2192,1219,1197,1663
Cyprus,Portfolio Investment Total Liabilities (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),USD,Units,5309040,1002960,0,26097000.9,49547400,65323200,45237633,0,17360670.6,43364366.7,23807760,17416080,5,1,0,26,50,65,45,0,17,43,24,17
Cyprus,Portfolio Investment Total Liabilities (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),USD,Units,49352800,66068100,228603000,219298100,199369300,142236000,998083800,595647600,475398000,315343200,216081300,215062200,49,66,229,219,199,142,998,596,475,315,216,215
Cyprus,Portfolio Investment Total Liabilities (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),USD,Units,14033409.54,19110110.52,37639648.14,0,124269598,92506080,151346601,100188483,79088940,0,0,9552456,14,19,38,0,124,93,151,100,79,0,0,10
Cyprus,Portfolio Investment Total Liabilities (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),USD,Units,10876000,44010390.65,0,0,0,26213518.25,50502842.15,40074818.8,69019146,65741040,158373360,102781260,11,44,0,0,0,26,51,40,69,66,158,103
Cyprus,Portfolio Investment Total Liabilities (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,0,0,31422008.23,27416578.94,5856296.206,4375130.4,0,0,0,0,0,0,0,0,31,27,6,4
Cyprus,Portfolio Investment Total Liabilities (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),USD,Units,881300,22861660,21849900,39773450.76,80337570,37666200,77898233.91,0,0,0,0,0,1,23,22,40,80,38,78,0,0,0,0,0
Estonia,Portfolio Investment Total Liabilities (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,49961320.27,91272850.9,19212441.19,57903684.63,95410877.78,16748910.42,12332839.41,22885053.84,19408500,27707400,0,0,50,91,19,58,95,17,12,23,19,28
Estonia,Portfolio Investment Total Liabilities (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),USD,Units,67066930,82847300,202080000,261523200,189931700,184380000,184012500,158653800,72030000,78835800,72458400,110829600,67,83,202,262,190,184,184,159,72,79,72,111
Estonia,Portfolio Investment Total Liabilities (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,8702939.66,20311914.29,756395.3225,1178272.652,1410012.972,3782012.03,3405336.254,31765821,19408500,11874600,0,0,9,20,1,1,1,4,3,32,19,12
Estonia,Portfolio Investment Total Liabilities (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),USD,Units,5071881.5,5502528.9,-1754231.22,41738748.57,42354294.13,82051734,105737998.8,74645166.68,10372320,13268466,16173750,4485960,5,6,-2,42,42,82,106,75,10,13,16,4
Estonia,Portfolio Investment Total Liabilities (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,886410.5209,1220458.369,1134592.984,4123954.283,5264048.429,71317941.14,25954184.42,7087535.331,11645100,2638800,0,0,1,1,1,4,5,71,26,7,12,3
Estonia,Portfolio Investment Total Liabilities (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,9239910.893,12237071.55,35308635.64,30457940.41,48274988.43,385869796.2,27557975.98,13541640.07,0,0,835.1802,0,9,12,35,30,48,386,28,14,0,0,0
Estonia,Portfolio Investment Total Liabilities (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,210079293.5,425504092.9,372902894,545876887.3,762629016.2,309674747,376979926.9,325599665.3,221256900,319294800,0,0,210,426,373,546,763,310,377,326,221,319
Estonia,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,158353700,103502850,285441676,401959181,584471430,534225090,168701874,161347200,235745730.2,252915706.1,350433971.7,0,158,104,285,402,584,534,169,161,236,253,350
Estonia,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,174351.1956,75639.53225,420811.6615,940008.6481,450239.5274,460180.5749,4440383.581,10351200,10555200,0,0,0,0,0,0,1,0,0,4,10,11
Estonia,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,5786726.6,11589288,30489246.4,36735858,25855344,19462634.1,9135118.8,14532772.8,16380475.8,19624581.3,53438338.8,0,6,12,30,37,26,19,9,15,16,20,53
Estonia,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,440707194.4,315314137.3,272756153.3,312999713.8,158015453.7,132100277.3,52552621.65,46624027.6,313123800,65970000,0,0,441,315,273,313,158,132,53,47,313,66
Estonia,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),USD,Units,60809700,157305000,191976000,543477900,510810100,416172000,447518400,392459400,14406000,28060200,51756000,131940000,61,157,192,543,511,416,448,392,14,28,52,132
Estonia,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,87175.59781,907674.3869,1009947.988,1880017.296,1710910.204,1748686.184,1622447.847,0,0,0,0,0,0,1,1,2,2,2,2,0,0
Estonia,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,2724200,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Estonia,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,886410.5209,11681530.11,2269185.967,16664141.8,29986275.87,24222886.58,24205498.24,21689565.95,19408500,38262600,0,0,1,12,2,17,30,24,24,22,19,38
Estonia,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,16744700,29304932.58,42303141.76,155279400,104993300,114579000,64772400,203188200,162787800,120258000,141035100,110829600,17,29,42,155,105,115,65,203,163,120,141,111
Estonia,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,3465059.309,3225497.119,2571744.096,673298.6585,3008027.674,13597233.73,15093922.86,6745967.363,6469500,13194000,0,0,3,3,3,1,3,14,15,7,6,13
Estonia,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),USD,Units,71374363.38,53483700,40416000,44949300,20008594.42,301284.822,438622.4997,555922.9152,18444.0018,3062251.048,149504.9694,2592771.412,71,53,40,45,20,0,0,1,0,3,0,3
Estonia,Portfolio Investment Total Liabilities (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,46818592.06,19440158.31,53250230.7,131124913.7,174841608.5,38900695.17,61019944.23,76255048.8,59519400,71247600,0,0,47,19,53,131,175,39,61,76,60,71
Estonia,Portfolio Investment Total Liabilities (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,55206000,64314328.51,85945494.95,89344850.72,104704672.9,96606617.65,95151676.08,0,0,0,0,0,55,64,86,89,105,97,95
Estonia,Portfolio Investment Total Liabilities (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,99761474.99,317667878.4,228204468.8,233297985.2,349119211.9,139124014,154804745.4,207587932.4,143622900,170202600,0,0,100,318,228,233,349,139,155,208,144,170
Estonia,Portfolio Investment Total Liabilities (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),USD,Units,83529804,190763770.7,420852037.1,739799441.3,500881120.4,601119685.2,501749990.8,312814692.4,137973610.5,204642362.8,241041017.1,290868252.4,84,191,421,740,501,601,502,313,138,205,241,291
Estonia,Portfolio Investment Total Liabilities (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,470004.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
